id;nombre;precio;numero_cajas;tipo;tamaño;color;descripcion;dimensiones;material;carga;frecuencia;potencia;tension
28;STENSELE / NORRARYD;1072000;5;living;;;;2x2x5;Plastico;34.0;;;
29;STENSELE;440000;2;living;;;;2x6x9;Organico;50.0;;;
30;NORRÅKER;476000;4;living;;;;7x1x5;Organico;13.0;;;
31;HENRIKSDAL;348000;4;living;;;;10x1x1;Madera;50.0;;;
32;NORRÅKER / NORRÅKER;1012800;3;living;;;;8x6x2;Reciclado;3.0;;;
33;YNGVAR;380000;5;living;;;;8x2x7;Reciclado;29.0;;;
34;HENRIKSDAL;32000;1;living;;;;8x6x9;Organico;1.0;;;
35;NORRÅKER;316000;5;living;;;;7x4x8;Madera;50.0;;;
36;NORDVIKEN;220000;4;living;;;;10x8x7;Plastico;46.0;;;
37;NORRÅKER / NORRARYD;1108000;5;living;;;;10x4x1;Reciclado;24.0;;;
38;EKEDALEN / EKEDALEN;1900000;1;living;;;;9x10x7;Plastico;44.0;;;
39;EKEDALEN / EKEDALEN;1740800;3;living;;;;7x8x8;Organico;25.0;;;
40;BERNHARD;596000;4;living;;;;8x7x10;Reciclado;46.0;;;
41;NORRÅKER / NORRÅKER;1108000;2;living;;;;5x4x2;Madera;46.0;;;
42;NORRÅKER / NORRARYD;1012800;5;living;;;;4x5x3;Madera;2.0;;;
43;STENSELE;440000;4;living;;;;6x8x5;Plastico;27.0;;;
44;GLENN;356000;3;living;;;;3x6x3;Reciclado;30.0;;;
45;NORRÅKER / NORRÅKER;1012800;1;living;;;;10x10x7;Reciclado;17.0;;;
46;RÅSKOG;140000;1;living;;;;10x9x7;Reciclado;5.0;;;
47;MINNEN;316000;3;dormitorio;Pequeño;Amarillo;Sin descripcion;;;;;;
48;BRIMNES;716000;3;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
49;SMÅGÖRA;476000;3;dormitorio;Mediano;Violeta;Uno de los productos mas vendidos;;;;;;
50;PLATSA;1688800;4;dormitorio;Pequeño;Verde;Uno de los productos mas vendidos;;;;;;
51;VATTVIKEN;796000;2;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
52;SLÄKT;432000;1;dormitorio;Mediano;Azul;Sin descripcion;;;;;;
53;BRIMNES;636000;3;dormitorio;Grande;Verde;Sin descripcion;;;;;;
54;NEIDEN;79200;4;dormitorio;Mediano;Amarillo;Sin descripcion;;;;;;
55;LEIRVIK;956000;3;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
56;NEIDEN;159200;4;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
57;HEMNES;540000;3;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
58;SLATTUM;476000;1;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
59;NEIDEN;159200;2;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
60;SAGSTUA;436000;1;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
61;BRIMNES;460000;5;dormitorio;Mediano;Verde;Uno de los productos mas vendidos;;;;;;
62;ASKVOLL;356000;3;dormitorio;Pequeño;Verde;Uno de los productos mas vendidos;;;;;;
63;TRYSIL;420000;2;dormitorio;Grande;Azul;Uno de los productos mas vendidos;;;;;;
64;MALM;396000;1;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
65;RAMSTA;356000;1;dormitorio;Mediano;Verde;Uno de los productos mas vendidos;;;;;;
66;SONGESAND;316000;5;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
67;MALM;736000;1;dormitorio;Pequeño;Rojo;Uno de los productos mas vendidos;;;;;;
68;SNIGLAR;156000;2;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
69;LAUVIK;1383200;3;dormitorio;Mediano;Azul;Sin descripcion;;;;;;
70;BRIMNES;460000;3;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
71;HEMNES;1196000;3;dormitorio;Grande;Azul;Sin descripcion;;;;;;
72;NESTTUN;476000;4;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
73;TYSSEDAL;1116000;4;dormitorio;Mediano;Verde;Uno de los productos mas vendidos;;;;;;
74;MALM;536000;1;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
75;MALM;356000;5;dormitorio;Mediano;Violeta;Sin descripcion;;;;;;
76;SLÄKT;796000;4;dormitorio;Grande;Amarillo;Sin descripcion;;;;;;
77;RIDABU;80000;5;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
78;KRITTER;288000;1;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
79;HEMNES;1100000;5;dormitorio;Grande;Violeta;Sin descripcion;;;;;;
80;PLATSA;2080400;5;dormitorio;Grande;Azul;Uno de los productos mas vendidos;;;;;;
81;SAGSTUA;596000;1;dormitorio;Grande;Violeta;Sin descripcion;;;;;;
82;SANDVIKA;236000;3;dormitorio;Grande;Verde;Uno de los productos mas vendidos;;;;;;
83;NEIDEN;319200;1;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
84;MINNEN;316000;3;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
85;SLÄKT;300000;2;dormitorio;Mediano;Violeta;Uno de los productos mas vendidos;;;;;;
86;HAMMARN;319200;1;dormitorio;Pequeño;Verde;Sin descripcion;;;;;;
87;BJÖRKSNÄS;1632000;1;dormitorio;Grande;Verde;Sin descripcion;;;;;;
88;SLÄKT;340000;2;dormitorio;Pequeño;Verde;Uno de los productos mas vendidos;;;;;;
89;NORDLI;1832000;4;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
90;FYRESDAL;439200;1;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
91;SONGESAND;456000;4;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
92;MALM;756000;5;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
93;MYDAL;716000;5;dormitorio;Grande;Azul;Sin descripcion;;;;;;
94;TUFFING;380000;1;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
95;SÄBÖVIK;1396000;1;dormitorio;Grande;Azul;Uno de los productos mas vendidos;;;;;;
96;LYCKSELE;80000;5;dormitorio;Mediano;Azul;Uno de los productos mas vendidos;;;;;;
97;TARVA;696800;3;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
98;HEMNES;556000;3;dormitorio;Grande;Violeta;Uno de los productos mas vendidos;;;;;;
99;HEMNES;796000;3;dormitorio;Pequeño;Amarillo;Sin descripcion;;;;;;
100;BUSUNGE;636000;5;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
101;MARKERAD;384000;3;dormitorio;Grande;Verde;Sin descripcion;;;;;;
102;GJÖRA;1312000;4;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
103;UTÅKER;556000;4;dormitorio;Pequeño;Amarillo;Sin descripcion;;;;;;
104;BRYNE;39200;1;dormitorio;Pequeño;Rojo;Uno de los productos mas vendidos;;;;;;
105;KURA;596000;1;dormitorio;Grande;Verde;Sin descripcion;;;;;;
106;FRIHETEN;1476800;5;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
107;VITVAL;236000;2;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
108;LURÖY;80000;2;dormitorio;Mediano;Violeta;Uno de los productos mas vendidos;;;;;;
109;SNIGLAR;236000;4;dormitorio;Pequeño;Rojo;Uno de los productos mas vendidos;;;;;;
110;HEMNES;916000;4;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
111;HEMNES;1196000;5;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
112;MALM;436000;3;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
113;SLÄKT;496000;5;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
114;DELAKTIG;1756000;2;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
115;STUVA;1380000;3;dormitorio;Grande;Rojo;Sin descripcion;;;;;;
116;LAUVIK;1940000;2;dormitorio;Pequeño;Verde;Sin descripcion;;;;;;
117;VIMLE;1120000;5;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
118;KONGSFJORD;6840800;1;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
119;NYHAMN;1176000;2;dormitorio;Grande;Verde;Uno de los productos mas vendidos;;;;;;
120;NYHAMN;360000;2;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
121;SLÄKT;1116000;4;dormitorio;Mediano;Azul;Sin descripcion;;;;;;
122;ASKEBY;796000;5;dormitorio;Grande;Violeta;Sin descripcion;;;;;;
123;BRIMNES;176000;4;dormitorio;Pequeño;Verde;Uno de los productos mas vendidos;;;;;;
124;SUNDVIK;679200;5;dormitorio;Mediano;Violeta;Uno de los productos mas vendidos;;;;;;
125;MALM;1276000;4;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
126;HEMNES;1748000;5;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
127;SOLGUL;316000;1;dormitorio;Grande;Verde;Uno de los productos mas vendidos;;;;;;
128;MYDAL;636000;1;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
129;NORDLI;1276000;1;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
130;VIKARE;76000;3;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
131;DELAKTIG;476000;5;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
132;TUFFING;516000;4;dormitorio;Grande;Verde;Uno de los productos mas vendidos;;;;;;
133;VALLENTUNA;1478400;1;dormitorio;Pequeño;Rojo;Uno de los productos mas vendidos;;;;;;
134;VITVAL;160000;4;dormitorio;Grande;Violeta;Uno de los productos mas vendidos;;;;;;
135;PLATSA;1845600;2;dormitorio;Grande;Verde;Sin descripcion;;;;;;
136;PLATSA;956000;4;dormitorio;Mediano;Azul;Uno de los productos mas vendidos;;;;;;
137;PLATSA;2671200;1;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
138;VITVAL;1272000;2;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
139;BUSUNGE;636000;3;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
140;NYHAMN;480000;5;dormitorio;Grande;Violeta;Sin descripcion;;;;;;
141;BRIMNES;876000;3;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
142;SONGESAND;996000;1;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
143;LAUVIK;1716800;5;dormitorio;Pequeño;Verde;Uno de los productos mas vendidos;;;;;;
144;SLÄKT;1008000;2;dormitorio;Grande;Rojo;Sin descripcion;;;;;;
145;SVÄRTA;716000;3;dormitorio;Mediano;Verde;Uno de los productos mas vendidos;;;;;;
146;VALLENTUNA;6236800;2;dormitorio;Grande;Azul;Sin descripcion;;;;;;
147;LYCKSELE MURBO;1156000;2;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
148;DELAKTIG;2076000;3;dormitorio;Mediano;Amarillo;Sin descripcion;;;;;;
149;PLATSA;1413600;3;dormitorio;Pequeño;Verde;Uno de los productos mas vendidos;;;;;;
150;MARKERAD;213600;3;dormitorio;Pequeño;Verde;Uno de los productos mas vendidos;;;;;;
151;LYCKSELE LÖVÅS;396000;2;dormitorio;Grande;Amarillo;Sin descripcion;;;;;;
152;UTÅKER;1028000;5;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
153;SUNDVIK;679200;5;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
154;PLATSA;2324000;5;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
155;BRYNILEN;24000;4;dormitorio;Pequeño;Amarillo;Sin descripcion;;;;;;
156;FYRESDAL;911200;2;dormitorio;Grande;Azul;Sin descripcion;;;;;;
157;VALLENTUNA;928000;4;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
158;DELAKTIG;1120000;5;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
159;BRIMNES;176000;3;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
160;SLÄKT;416000;1;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
161;SUFFLETT;68000;1;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
162;KURA;140000;5;dormitorio;Mediano;Azul;Uno de los productos mas vendidos;;;;;;
163;LÖVA;44000;1;dormitorio;Grande;Azul;Sin descripcion;;;;;;
164;HEMNES;1668000;3;dormitorio;Mediano;Violeta;Uno de los productos mas vendidos;;;;;;
165;FLEKKE;1196000;2;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
166;MARKERAD;873600;2;dormitorio;Grande;Azul;Uno de los productos mas vendidos;;;;;;
167;PLATSA;1730800;4;dormitorio;Pequeño;Verde;Uno de los productos mas vendidos;;;;;;
168;KURA;119200;3;dormitorio;Mediano;Verde;Uno de los productos mas vendidos;;;;;;
169;STUVA / FÖLJA;1532000;2;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
170;DELAKTIG;1996000;5;dormitorio;Pequeño;Amarillo;Uno de los productos mas vendidos;;;;;;
171;GRÄLVIKEN;1596000;5;dormitorio;Mediano;Verde;Uno de los productos mas vendidos;;;;;;
172;HOLMSUND;1836000;3;dormitorio;Pequeño;Azul;Sin descripcion;;;;;;
173;LAUVIK;2321600;3;dormitorio;Pequeño;Verde;Sin descripcion;;;;;;
174;STUVA / FRITIDS;1592000;1;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
175;SVÄRTA;700000;1;dormitorio;Pequeño;Azul;Sin descripcion;;;;;;
176;PLATSA;1288800;2;dormitorio;Pequeño;Verde;Uno de los productos mas vendidos;;;;;;
177;GRÖNLID;2876000;4;dormitorio;Grande;Verde;Sin descripcion;;;;;;
178;VITVAL;1036000;4;dormitorio;Mediano;Violeta;Sin descripcion;;;;;;
179;GRÖNLID;6088000;3;dormitorio;Pequeño;Amarillo;Sin descripcion;;;;;;
180;BRIMNES;1436000;4;dormitorio;Grande;Rojo;Sin descripcion;;;;;;
181;SLÄKT;236000;1;dormitorio;Grande;Verde;Uno de los productos mas vendidos;;;;;;
182;NORDLI;556000;4;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
183;DELAKTIG;1676000;1;dormitorio;Grande;Amarillo;Sin descripcion;;;;;;
184;GONATT;876000;4;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
185;BRENNÅSEN;24000;3;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
186;BRÅTHULT;1592800;4;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
187;PLATSA;1768000;3;dormitorio;Mediano;Violeta;Uno de los productos mas vendidos;;;;;;
188;SVÄRTA;940000;1;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
189;NYHAMN;1156000;1;dormitorio;Mediano;Azul;Sin descripcion;;;;;;
190;LIDHULT;7668000;5;dormitorio;Mediano;Amarillo;Sin descripcion;;;;;;
191;BURFJORD;32000;3;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
192;VALLENTUNA;3590400;4;dormitorio;Grande;Azul;Uno de los productos mas vendidos;;;;;;
193;VITVAL;956000;3;dormitorio;Grande;Verde;Sin descripcion;;;;;;
194;VALLENTUNA;4624000;1;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
195;LIDHULT;2672000;1;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
196;DELAKTIG;396000;3;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
197;GULLIVER;476000;4;dormitorio;Grande;Verde;Sin descripcion;;;;;;
198;DELAKTIG;160000;5;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
199;FLOTTEBO;1788800;4;dormitorio;Mediano;Azul;Uno de los productos mas vendidos;;;;;;
200;DELAKTIG;1440000;2;dormitorio;Pequeño;Rojo;Uno de los productos mas vendidos;;;;;;
201;VIMLE;3716000;4;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
202;NYHAMN;1036000;2;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
203;SULTAN;40000;1;dormitorio;Pequeño;Amarillo;Sin descripcion;;;;;;
204;BÅTSFJORD;24000;3;dormitorio;Mediano;Violeta;Sin descripcion;;;;;;
205;KONGSFJORD;6684800;4;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
206;FLEKKE;1748000;2;dormitorio;Pequeño;Azul;Sin descripcion;;;;;;
207;SUNDVIK;556000;4;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
208;SANDBACKEN;1472800;5;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
209;HOLMSUND;2396000;3;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
210;VALLENTUNA;3456000;4;dormitorio;Grande;Verde;Sin descripcion;;;;;;
211;FLOTTEBO;1276800;4;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
212;NYHAMN;1216000;4;dormitorio;Grande;Verde;Uno de los productos mas vendidos;;;;;;
213;SVÄRTA;240000;3;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
214;LIDHULT;6228000;3;dormitorio;Grande;Rojo;Sin descripcion;;;;;;
215;GRÖNLID;3416000;5;dormitorio;Pequeño;Verde;Sin descripcion;;;;;;
216;STUVA / FRITIDS;1620000;1;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
217;LYCKSELE HÅVET;636000;1;dormitorio;Mediano;Amarillo;Sin descripcion;;;;;;
218;SUNDVIK;556000;3;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
219;FRIHETEN;1476000;2;dormitorio;Grande;Verde;Uno de los productos mas vendidos;;;;;;
220;VIMLE;2356000;2;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
221;GRÖNLID;3832000;5;dormitorio;Mediano;Amarillo;Sin descripcion;;;;;;
222;BJORLI;32000;5;dormitorio;Grande;Verde;Uno de los productos mas vendidos;;;;;;
223;SLÄKT;60000;4;dormitorio;Grande;Violeta;Uno de los productos mas vendidos;;;;;;
224;KURA;100000;4;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
225;KURA;100000;4;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
226;VALLENTUNA;3228800;2;dormitorio;Grande;Azul;Uno de los productos mas vendidos;;;;;;
227;LIDHULT;3872800;2;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
228;BRATTVÅG;40000;1;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
229;VALLENTUNA;2345600;2;dormitorio;Pequeño;Verde;Sin descripcion;;;;;;
230;GRÖNLID;3512000;3;dormitorio;Grande;Azul;Uno de los productos mas vendidos;;;;;;
231;LYCKSELE MURBO;556000;5;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
232;STUVA / FRITIDS;796000;2;dormitorio;Mediano;Azul;Sin descripcion;;;;;;
233;VITVAL;796000;4;dormitorio;Mediano;Violeta;Uno de los productos mas vendidos;;;;;;
234;VIMLE;2684000;4;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
235;FLOTTEBO;1340800;1;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
236;LYCKSELE LÖVÅS;1076000;3;dormitorio;Grande;Amarillo;Sin descripcion;;;;;;
237;GRÖNLID;4888000;5;dormitorio;Mediano;Azul;Sin descripcion;;;;;;
238;VIMLE;6212000;1;dormitorio;Mediano;Violeta;Sin descripcion;;;;;;
239;LIDHULT;3232000;5;dormitorio;Grande;Azul;Uno de los productos mas vendidos;;;;;;
240;VIMLE;3296000;4;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
241;VIMLE;3412000;3;dormitorio;Grande;Amarillo;Sin descripcion;;;;;;
242;STUVA / FRITIDS;796000;5;dormitorio;Grande;Verde;Sin descripcion;;;;;;
243;STUVA / FÖLJA;1584000;2;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
244;GONATT;876000;1;dormitorio;Mediano;Violeta;Sin descripcion;;;;;;
245;SUFFLETT;68000;3;dormitorio;Mediano;Azul;Uno de los productos mas vendidos;;;;;;
246;STUVA / FRITIDS;796000;5;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
247;FLOTTEBO;1596800;4;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
248;LIDHULT;4672000;5;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
249;LYCKSELE HÅVET;1316000;1;dormitorio;Mediano;Violeta;Uno de los productos mas vendidos;;;;;;
250;GRÖNLID;2516000;4;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
251;LIDHULT;6298400;4;dormitorio;Mediano;Verde;Uno de los productos mas vendidos;;;;;;
252;STUVA / FÖLJA;788000;1;dormitorio;Pequeño;Amarillo;Sin descripcion;;;;;;
253;LIDHULT;4442400;5;dormitorio;Pequeño;Azul;Sin descripcion;;;;;;
254;STUVA / FRITIDS;796000;5;dormitorio;Grande;Azul;Sin descripcion;;;;;;
255;JONAXEL;108000;2;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
256;OLAUS;232000;5;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
257;JONAXEL;732000;5;dormitorio;Grande;Amarillo;Sin descripcion;;;;;;
258;KOLBJÖRN;276000;4;dormitorio;Grande;Verde;Sin descripcion;;;;;;
259;JONAXEL;300000;3;dormitorio;Mediano;Violeta;Sin descripcion;;;;;;
260;IVAR;1108000;4;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
261;GERSBY;76000;2;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
262;KALLAX;92000;3;dormitorio;Mediano;Violeta;Sin descripcion;;;;;;
263;LACK;159200;3;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
264;HYLLIS;47200;2;dormitorio;Grande;Violeta;Uno de los productos mas vendidos;;;;;;
265;KALLAX;200000;2;dormitorio;Pequeño;Rojo;Sin descripcion;;;;;;
266;JONAXEL;140000;2;dormitorio;Grande;Verde;Sin descripcion;;;;;;
267;HYLLIS;31200;3;dormitorio;Mediano;Azul;Sin descripcion;;;;;;
268;LACK;31200;4;dormitorio;Pequeño;Rojo;Uno de los productos mas vendidos;;;;;;
269;LAIVA;68000;1;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
270;SVALNÄS;216000;2;dormitorio;Grande;Rojo;Sin descripcion;;;;;;
271;KALLAX;24000;3;dormitorio;Pequeño;Amarillo;Sin descripcion;;;;;;
272;VITTSJÖ;196000;5;dormitorio;Mediano;Violeta;Uno de los productos mas vendidos;;;;;;
273;BILLY;148000;4;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
274;BILLY;116000;1;dormitorio;Mediano;Rojo;Sin descripcion;;;;;;
275;JONAXEL;60000;4;dormitorio;Pequeño;Verde;Sin descripcion;;;;;;
276;HYLLIS;109600;2;dormitorio;Pequeño;Azul;Sin descripcion;;;;;;
277;KALLAX;360000;5;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
278;IVAR;28000;1;dormitorio;Grande;Azul;Sin descripcion;;;;;;
279;KALLAX;156000;3;dormitorio;Grande;Azul;Uno de los productos mas vendidos;;;;;;
280;VITTSJÖ;180000;3;dormitorio;Mediano;Amarillo;Uno de los productos mas vendidos;;;;;;
281;HEJNE;132000;1;dormitorio;Pequeño;Azul;Uno de los productos mas vendidos;;;;;;
282;LOMMARP;380800;4;dormitorio;Mediano;Amarillo;Sin descripcion;;;;;;
283;IVAR;236000;5;dormitorio;Mediano;Azul;Uno de los productos mas vendidos;;;;;;
284;FJÄLLBO;396000;2;dormitorio;Grande;Amarillo;Uno de los productos mas vendidos;;;;;;
285;OBSERVATÖR;12000;3;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
286;KALLAX;400000;3;dormitorio;Mediano;Rojo;Uno de los productos mas vendidos;;;;;;
287;BILLY;76000;2;dormitorio;Grande;Rojo;Uno de los productos mas vendidos;;;;;;
288;EKET;524800;4;dormitorio;Pequeño;Rojo;Uno de los productos mas vendidos;;;;;;
289;BILLY;1208000;3;dormitorio;Pequeño;Violeta;Sin descripcion;;;;;;
290;LACK;79200;1;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
291;EKET;176000;2;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
292;GNEDBY;100000;2;dormitorio;Pequeño;Amarillo;Uno de los productos mas vendidos;;;;;;
293;LIATORP;360000;5;dormitorio;Grande;Rojo;Sin descripcion;;;;;;
294;BESTÅ;20000;5;dormitorio;Pequeño;Violeta;Uno de los productos mas vendidos;;;;;;
295;LACK;15200;3;dormitorio;Mediano;Amarillo;Sin descripcion;;;;;;
296;IVAR;456000;2;dormitorio;Pequeño;Verde;Sin descripcion;;;;;;
297;EKET;496000;3;dormitorio;Mediano;Azul;Sin descripcion;;;;;;
298;BILLY / OXBERG;732000;5;dormitorio;Mediano;Violeta;Sin descripcion;;;;;;
299;HEJNE;36000;2;dormitorio;Mediano;Amarillo;Sin descripcion;;;;;;
300;FINNBY;119200;4;dormitorio;Mediano;Verde;Sin descripcion;;;;;;
