id_despacho,id_compra,fecha_entrega
159,159,2017-11-10
381,381,2013-01-12
27,27,2002-01-04
136,136,2012-12-25
429,429,2005-07-02
190,190,2018-06-25
37,37,2022-02-28
114,114,2019-11-09
221,221,2018-05-07
432,432,2008-06-08
379,379,2003-11-20
421,421,2021-08-25
154,154,2000-04-08
329,329,2005-10-26
388,388,2004-12-21
191,191,2017-01-16
89,89,2013-05-03
94,94,2020-01-25
403,403,2021-03-29
479,479,2016-09-05
404,404,2010-04-19
333,333,2013-09-02
171,171,2021-12-03
438,438,2018-03-04
400,400,2021-01-27
19,19,2000-01-11
315,315,2001-07-15
43,43,2016-11-01
16,16,2014-02-12
304,304,2007-04-06
