id,num_telefono,calle,numero,comuna,region,capacidad
22,741287560,Kyle Mills,3071,Morganfurt,Oklahoma,322
74,581634071,Angela Meadow,3734,South Michael,Maine,245
19,463451755,Dakota Dale,1341,Beckerberg,West Virginia,840
39,857232162,Todd Lakes,340,West Jonathanshire,Massachusetts,443
61,445414460,Patricia Rue,3065,Amyland,Rhode Island,526
1,188185555,Harris Oval,3976,Bradleyland,Connecticut,302
49,207313878,Catherine Court,1501,Ashleyport,North Dakota,591
8,987399496,Adams Hollow,2275,Jonesland,Colorado,247
50,240135066,Lori Lodge,3560,West Brian,Texas,688
85,609687867,Brooks Points,1535,Jonathanside,Kansas,810
88,360682577,Michael Greens,1601,South Reginaldmouth,Wisconsin,686
25,671100926,Veronica Lights,4501,Lake Robertville,Arizona,878
62,154667576,Ryan Trail,42,Clarkshire,Arkansas,825
27,989587791,Cole Valley,2005,New Kellyshire,Alaska,558
70,728073303,Tracy Common,4686,Robertmouth,New Hampshire,614
40,145850422,Pacheco Mews,3613,Duranland,Ohio,926
16,599236206,Smith Shoals,4733,Bradleyhaven,Maine,985
32,278509178,Garza Bridge,3475,Michellefort,Maryland,790
17,828780614,Landry Wall,4244,West Michael,Virginia,418
90,166727345,Alyssa Junction,2552,Bellmouth,Indiana,706
30,982258133,Hatfield Street,1722,Mariestad,Massachusetts,761
84,402706995,James Drives,675,Hollandstad,Kentucky,816
3,801245569,Barton Courts,3597,Markberg,Maine,509
9,440111424,Troy Spurs,462,Port Shannonborough,South Carolina,588
91,227534658,Lopez Dale,4871,Hollowayport,Colorado,277
99,308436171,James Motorway,2053,Calderonville,Maryland,601
6,613767256,Sandra Roads,3905,North Wandafort,Arizona,202
14,544563556,Randall Crescent,3507,Lake Cameronville,Pennsylvania,278
13,612918953,Foster Islands,2702,South Cindymouth,Idaho,331
47,151298775,Candice Estates,163,Andersonbury,New Jersey,748
38,115060998,Margaret Shoal,2347,Lake Margaret,Texas,200
36,697020537,Garrison Forks,1128,Omarmouth,Mississippi,831
95,588473596,Brandon Parks,4710,South Jeffreyfurt,New Jersey,755
29,405690576,Mendoza Row,2265,Danielchester,Indiana,271
89,567610999,Scott Alley,571,Brooketon,New York,375
20,261051577,Bullock Harbor,3925,Perezville,Oregon,454
97,435441839,Jimmy Wall,716,Torresburgh,Mississippi,383
58,767668177,King Field,2235,Lake Richardberg,Kansas,700
87,439012908,Yates Shoals,1491,New Jacob,Virginia,866
76,750770374,Mary Run,189,Lake Heathershire,West Virginia,577
23,427995720,Mann Drives,1867,Jeremybury,Kentucky,239
86,987205775,Raymond Common,4610,West Edward,New Hampshire,692
43,962959149,Jose Summit,1435,Mooreside,Maryland,984
80,929130063,Stephens Ford,3675,Port Briana,California,874
60,991130487,Newman Ports,2126,Aliciabury,Colorado,814
68,610679230,Zavala Ranch,545,Port Joshuatown,Ohio,957
44,482658912,Le Lodge,4475,North Shawna,Florida,447
7,309314806,Navarro Fort,2467,Port Jameston,Arizona,656
69,162300763,Daniel Brook,3975,Edwardville,Washington,832
28,670274038,King Stravenue,1341,Lake James,New York,394
18,743065841,Jeremy Island,514,Port Lindaport,Indiana,648
31,136761070,Aguilar Trail,4280,Lake Steven,Texas,290
101,424171318,East Shelby,3811,East Shelbyport,Tennessee,300
11,286300117,Mitchell Shoals,4844,South Tammyberg,Idaho,568
34,541394498,Velazquez Plaza,1219,East Jennifermouth,Kentucky,319
77,751791673,Ann Brook,335,Juanhaven,Louisiana,902
33,594550730,Adam Canyon,3727,New Jacquelineview,Utah,424
71,763855154,Juan Shoal,2541,Youngberg,North Dakota,841
51,490685278,Fields Unions,498,Morrisonberg,Alabama,385
10,520699157,Andrea Meadow,799,South Amandashire,Georgia,349
94,192930930,Garner Dam,1289,West Patricia,Illinois,478
65,672338059,Terrell Knoll,4512,North David,New Mexico,307
82,307561076,Hopkins Highway,1411,East Pamelafurt,Montana,602
100,756410012,Marquette,510,South Marc,Minnesota,501
78,522178033,Payne Drives,1785,East Ricardo,Delaware,940
79,662549587,Pratt Park,384,New Brianburgh,West Virginia,796
98,693445987,Johnson Motorway,545,Christopherview,Wyoming,669
